Type,Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure
M,302.3,311.7,1685,30.8,130,0
L,302.4,310.2,1633,28,164,0
L,298.7,308.4,1750,25.8,72,0
L,300.4,309.8,1549,38.9,150,0
L,301.2,311,1573,32.8,57,0
L,300.9,312.7,1416,43.8,112,0
L,298.6,309.8,1370,56,0,0
L,300.7,310.7,1541,41.3,82,0
M,299.3,308.5,1496,39.4,80,0
L,298.1,307.7,1479,45,136,0
L,298.1,308.2,1521,39.3,151,0
M,301.9,310.7,1405,47.9,80,0
L,302.3,311.4,1609,32.3,49,0
L,302.3,311.7,1611,38.6,143,0
M,300,310.5,1790,25.7,123,0
L,301.1,310.6,1417,47.6,10,0
L,300.8,311.2,1376,48.1,172,0
H,301,310.1,1454,44.1,217,0
L,298.1,307.7,1650,34.1,138,0
L,301.1,311.1,1470,40.9,125,0
M,297.3,308.7,1451,43.8,24,0
L,299,308.4,1356,52.6,188,0
M,299.5,310.7,1423,56.5,7,0
L,298.7,309.7,1601,35.7,176,0
M,300.4,310.8,1491,35.9,148,0
L,301.2,312.4,1480,53.5,97,0
L,300.8,310.4,1368,46.8,21,0
L,298.2,309,1377,57.8,8,0
H,300.3,311.6,1463,41.6,102,0
M,298.4,308.5,1636,35.7,107,0
L,296.8,307.8,1565,39.5,124,0
L,296.5,307.6,1512,43.6,92,0
L,297.2,308.5,1513,42.9,212,0
L,303.3,311.3,1389,53.9,39,0
L,299.6,309.5,1570,35.5,189,0
L,301,311.3,1342,50.9,60,0
L,302.8,311,1564,38.5,85,0
L,301.8,310.7,1441,49.3,58,0
L,302.3,310.8,1511,48.1,24,0
L,303.8,313.2,1531,39.4,159,0
L,300.8,311.2,1492,39,109,0
L,304.1,313.1,1556,36.3,86,0
M,302.6,312.1,2000,21.9,200,0
L,296.8,308,1584,40.4,227,0
L,301.8,311,1606,33.3,4,0
L,302.2,311.1,1418,47,61,0
H,298.5,308.4,1612,36.1,174,0
M,301.5,310.6,1447,41.9,140,0
L,303.7,312.5,1397,45.7,187,0
L,302,309.7,1551,34.8,207,0
M,296.2,307.3,1477,35.2,53,0
L,297.8,308.4,1612,32.1,183,0
L,298.2,309.1,1429,48.5,164,0
L,297.8,307.5,1581,33.1,116,0
M,300.1,309.5,1462,42.8,50,0
M,301.5,311.1,1507,38.6,149,0
L,299.1,310.4,1452,39.7,151,0
L,298.8,308.8,1523,44.4,55,0
M,298.4,308.7,1421,60.7,119,1
L,301.3,310.5,1406,47.1,83,0
M,298.4,309.2,1399,45.2,125,0
L,298.4,308.8,1352,56.7,24,0
M,298.1,307.8,1525,35.9,132,0
L,298.9,308.5,1459,43.1,147,0
L,302.2,311.4,1477,41.7,15,0
L,298.2,309,1643,34.1,91,0
H,298.4,308.2,1612,32.6,10,0
L,302.6,312.3,1321,53.4,42,0
L,298.4,307.9,1446,45.3,23,0
L,299.3,310.6,1480,45.1,107,0
M,297.5,308.1,1907,23.5,125,0
L,297.3,308.6,1505,33.5,14,0
L,304.1,313.2,1569,35.8,146,0
M,298.1,308.5,1382,54.5,17,0
M,297,308.3,1399,46.4,132,0
L,300.2,311.4,1495,43.6,95,0
L,298.2,308.3,1230,59.6,162,0
M,298,307.5,1427,43.6,101,0
L,301.8,310.8,1736,26.5,56,0
H,301.3,310.4,1538,38.4,65,0
L,298.9,309.5,1645,31.1,169,0
L,302.4,311.2,1450,47.9,154,0
L,299.4,310.8,1424,47.7,109,0
H,298.1,309.3,1332,51,72,0
L,302.4,311.8,1433,42.2,134,0
L,298.9,310.1,1944,23.4,192,0
L,303,311.2,1341,51,174,1
M,298.5,309.3,1552,36.8,133,0
H,298.2,307.6,1318,55.7,0,0
L,300.8,311.8,1417,43.4,223,0
L,302.5,310.3,1446,44,146,0
H,298.4,307.9,1948,21.4,136,0
L,300.2,309.8,1827,23,6,0
L,297.5,308.5,1373,39.9,110,0
L,299.8,309.4,1475,43.4,51,0
L,303.9,313,1759,28.4,74,0
L,301.9,310.7,1429,51,76,0
L,303.8,312.6,1577,41.3,134,0
M,297.4,309.3,1775,25.8,91,0
L,302.9,312.3,1515,40.8,183,0
L,299.9,309.2,1658,34.8,16,0
L,298.9,310,1452,48.9,185,0
M,295.6,306.1,1651,28.1,110,0
L,299.3,309,1511,47.8,148,0
L,301.3,311,1856,21.9,189,0
L,298.7,310,1555,32.6,197,0
M,299.5,310.1,1659,31.5,44,0
L,298.6,309.7,1429,45.8,113,0
H,300.4,311.4,1445,52.4,105,0
L,300.8,310.3,1538,36.1,198,0
L,300.8,311.2,1397,48.7,111,0
L,296.9,308,1343,44.5,15,0
L,300.6,312.3,1532,37.2,54,0
L,301,310.5,1408,47,202,0
L,297.3,308.7,1549,36.1,218,0
L,297.2,308.3,1796,23.8,61,0
L,298.1,308.2,1654,32.1,25,0
M,301.1,311.1,1436,41.8,156,0
M,302.5,312,1826,25.3,203,0
L,302.6,312.1,1473,37.3,184,0
L,299.4,308.7,1459,47.6,96,0
M,299.3,310.8,1523,40.9,141,0
M,298.8,309.1,1559,34.7,95,0
L,297.5,308.7,1429,44.3,201,0
M,299.7,309.1,1508,41.2,152,0
M,302.5,312,1642,29.1,46,0
L,298.9,309.1,1383,54.9,145,0
L,298.6,309.5,1730,30.2,41,0
L,301.5,310.4,1918,21.8,9,0
L,300.7,310.6,1491,43.2,187,0
H,301.1,310.6,1407,43.9,111,0
L,297.3,308.3,1519,37.7,45,0
L,301.3,310.6,1521,36.3,166,0
L,303.3,311.3,1409,51.8,16,0
M,298.8,309.7,1459,47.3,141,0
L,297.2,307.9,1469,48.2,144,0
L,301,312.2,1602,35.9,67,0
L,300.7,309.5,1479,43.6,240,0
M,302.1,311.3,1453,45.1,174,0
L,302.3,311.2,1386,50.3,110,0
L,300,309.6,1514,44.6,98,0
L,299.2,308.5,1867,27,138,0
L,300,310.2,1760,26.9,193,0
L,302.8,312.2,1682,30.9,58,0
L,298.1,307.7,1537,40.8,169,0
M,300.2,309.4,1501,40,48,0
L,299.4,310.5,1372,46.3,173,0
L,297.5,308.7,1443,46.2,110,0
L,300.6,309.4,1556,36,98,0
M,297.9,309.1,1338,49.6,56,0
M,298.3,307.8,1392,50.4,101,0
M,300.5,309.8,1473,42.3,121,0
L,298.2,308.3,2216,16.8,139,0
L,298.8,309.8,1363,44,25,0
L,300.9,312,1533,44,162,0
L,302.4,311.3,1392,50.5,51,0
H,299,310.5,1336,56.8,136,0
L,298.3,309,1519,40,96,0
M,304.2,313.8,1481,44.9,136,0
L,298.2,308,1538,38.2,59,0
H,298.8,309.8,1510,44.2,35,0
H,298.7,309.6,1755,26.9,73,0
L,299.5,309.3,1972,19.3,177,0
L,298.9,308.6,1413,46.5,122,0
M,303,311.3,1335,53.6,164,1
L,302.3,310.9,1720,28.1,178,0
L,299.9,310.4,1497,47,150,0
L,300.4,311.7,1314,59.5,160,0
M,300.6,310.7,1339,52.9,0,0
M,299.1,310.6,1397,49.5,165,0
L,300.6,311.7,1734,29.9,72,0
M,298.8,309.2,1452,48.6,98,0
L,299.5,309.1,1863,22.5,79,0
L,301.2,310.9,1597,37.9,164,0
M,296.9,308,1430,55.9,71,0
L,303,311.2,1641,32.6,63,0
L,302,310.4,1611,35.6,117,0
L,298.9,309.9,1517,36.6,117,0
M,301.7,310.3,1787,26.7,33,0
L,297.2,308.6,1864,23.6,103,0
M,301.4,310.7,1375,42,168,0
M,298.4,309.5,1484,41.7,119,0
L,302.9,312.1,1334,54.7,88,0
L,299.1,310.4,1450,40.9,85,0
M,303,312.4,1645,29.6,129,0
H,299.9,309.6,1410,51.2,98,0
L,300.7,310.2,1642,32.6,26,0
L,297.7,308.9,1516,33.7,92,0
M,300,309.3,1407,43.9,138,0
M,299.3,308.9,1767,24.8,196,0
M,300.7,310.6,1349,54.5,19,0
L,298.3,309,1339,58.8,35,0
M,298.4,309.5,1514,38.8,128,0
L,301.6,310.8,1961,21.8,148,0
L,301.1,311,1677,29.1,188,0
L,299.7,309.3,1546,37.2,4,0
L,302.7,310.6,1501,48.7,4,0
H,298.9,309.6,1600,33.5,175,0
M,299,310.3,1540,38.1,182,0
L,298.7,310.2,1717,27.3,26,0
L,297.3,308.7,1531,36.7,116,0
L,300.3,311.7,1317,56.5,7,0
L,299.6,309.5,1453,41.4,168,0
L,301.3,310.6,1440,53.8,90,0
L,297.9,308,1954,21.1,42,0
M,297.7,309.4,1461,43.7,142,0
L,298.4,309.3,1549,40.8,139,0
L,301.2,310.8,1711,28.9,38,0
L,298.2,307.8,1749,26.1,66,0
L,297.1,307.8,1428,43.7,179,0
L,297.9,308,1501,36.7,4,0
L,303.6,312.4,1781,28.7,124,0
L,299.4,308.9,1440,42.5,87,0
M,298.9,310.2,1603,36.1,126,0
L,301.7,310.5,1399,53.2,174,0
L,304.1,313,1566,37.2,7,0
M,300.5,309.9,1994,19.8,189,0
L,302.2,311.3,1554,40.2,118,0
L,297.9,307.8,1538,38.5,123,0
M,298.1,308.9,1417,39.2,65,0
L,300.3,309.3,1345,53.5,192,0
L,300.3,309.6,1624,32.6,175,0
L,302.2,310.8,1673,32.9,52,0
L,299.3,309.1,1531,37.9,127,0
M,298.7,308.3,1349,46.6,74,0
H,302.1,311.2,1598,37.9,148,0
L,303.6,313,1575,38.3,54,0
L,302.6,311.9,1453,39.1,84,0
L,303.7,312.7,1572,37.2,192,0
M,299.7,309.6,1477,42.7,163,0
L,301.7,311.2,1589,37.9,75,0
L,299.8,309.6,1374,51.6,137,0
L,298,309.2,1378,49.7,94,0
M,301,310.7,1657,29.9,148,0
M,298,308.2,2090,19,143,0
M,303.4,311.5,1817,24.7,125,0
L,300.3,311.8,2004,19.6,12,0
L,299.2,310.1,1534,37.7,10,0
L,302.9,311.2,1634,36.9,71,0
H,297.9,307.7,1464,43.2,97,0
M,302.6,311.6,1227,68.2,187,1
L,304.1,313.1,1969,20.8,59,0
M,300.5,309.5,1320,49.9,59,0
L,300,309.9,1608,33.4,76,0
L,297.3,308.5,1497,47.5,27,0
M,297.5,308.5,1612,30,163,0
M,300.1,311.3,1518,40.2,130,0
L,299.2,309.1,1468,45.6,2,0
H,297.4,308.3,1771,27.4,100,0
L,297.6,309.5,1373,50.6,55,0
H,300.7,309.6,1403,51.3,174,0
M,302,309.7,1386,62.7,142,1
L,298.1,307.8,1540,37.8,203,0
L,298.8,308.4,1473,41.1,128,0
H,298.9,308.8,1621,32.7,75,0
L,299.2,308.8,1605,31.1,181,0
L,299.8,311.2,1564,40,172,0
L,299.1,308.6,1408,46.7,196,0
L,302,310.9,1564,39,15,0
M,297.7,309,1504,40.4,35,0
M,297.1,308.4,1615,32.6,184,0
L,302.4,312,1457,45.5,206,0
M,300.8,311.4,1732,26.9,45,0
L,303.1,312.6,1548,36.4,150,0
L,297.6,308.7,1365,50.6,143,0
L,302.3,311.4,1511,34.7,75,0
M,303.6,312.5,1459,48.2,17,0
M,301.9,310.6,1260,65.9,29,0
H,298.7,308.4,1560,33.3,53,0
M,300.4,309.6,1563,34,6,0
L,301.5,311.1,2076,18.7,103,0
L,302.8,310.8,1402,50.5,30,0
M,302.5,310.4,1581,32.7,181,0
M,296.2,307.3,1451,42.8,11,0
L,301.5,310.8,1512,38.9,9,0
L,301.1,312.3,1486,34.9,122,0
L,297.5,308.9,1390,44.6,140,0
L,300.5,310.3,1683,31.5,8,0
L,298.4,309.1,1362,46.1,37,0
L,297.4,308.4,1378,39.9,63,0
L,296.8,308.2,1643,34.7,191,0
L,302,309.8,1532,39.4,2,0
L,302.2,311.6,1383,44.3,72,0
M,303.8,312.6,1406,47.1,162,0
M,302.8,312.2,1615,32.9,159,0
L,298.8,309.6,1613,27.7,143,0
M,297.4,308.8,1325,62.4,204,1
H,299.9,310.5,1549,42.8,208,0
L,301.1,311,1918,21.7,28,0
H,298.2,308.8,1436,51.9,153,0
H,297.7,309.7,1570,35.8,160,0
M,297.5,308.4,1596,36.6,80,0
L,299.8,309.1,1668,30.3,200,0
L,302.2,311.5,1413,43.5,83,0
M,297.7,308.3,1547,36.8,74,0
M,300.8,312,1450,45,183,0
L,302.5,310.9,1624,34.4,146,0
L,302,309.8,1701,27.2,4,0
L,301.6,310.4,1517,41.1,167,0
L,298.6,309.6,1715,28.4,90,0
L,301,311.6,1352,63.5,143,0
M,303.5,312.8,1375,45.7,89,0
L,298.6,309,1469,46,4,0
L,301,310.7,1391,45,123,0
L,300.2,309.8,1401,49.3,163,0
L,298.8,309,1829,22.9,172,0
H,299.9,310.1,1447,51.4,185,0
L,300.8,310.7,1339,59.1,203,1
L,300.6,310.7,1440,52.5,200,0
L,298,308.5,1461,48,68,0
L,299.7,311.1,1554,41,192,0
M,300.2,311.6,1465,41.4,78,0
L,299.1,308.8,1329,53.6,207,1
H,301.8,310.5,1478,38.6,141,0
L,298.1,307.7,2567,12.8,125,1
L,300.2,311.6,1322,50.9,215,0
L,299,308.6,1653,31.7,100,0
L,303.5,311.7,1959,22.3,157,0
L,301.5,310.6,1481,46.8,20,0
L,297.3,308.6,1273,59.8,182,0
M,300.9,311.3,1603,31.8,190,0
L,299,310,1484,39.6,212,0
M,300.2,311.4,1960,20.9,20,0
L,300.2,311.6,1999,21,19,0
L,303.9,313.1,1665,29.6,0,0
L,300.5,312,1461,38.1,39,0
L,299.3,309.2,1511,37.2,129,0
L,300.3,311.6,1374,47.4,197,0
L,301.2,311,1612,32.9,129,0
L,300.8,312.4,1365,44.5,129,0
M,299.1,310.4,1524,51.4,66,0
L,298.8,309.8,1490,40.6,124,0
L,299.4,309.1,1464,40.5,215,0
H,300.6,309.7,1470,43.8,18,0
L,296.5,307.6,1541,38.5,98,0
L,299.5,310.7,1472,40.9,104,0
L,300.6,311.6,1455,48,203,0
M,299,310.3,1827,28,178,0
L,300.1,309.7,1351,58.2,155,0
L,302.5,310.4,1488,48.4,134,0
M,299.9,309.2,1683,30.5,13,0
L,300.8,312.6,1376,53.6,119,0
M,300.2,309.5,1500,45.7,89,0
L,296.5,307.5,1566,35.1,206,0
L,297.4,308.7,1468,46.6,94,0
M,303,311.1,1428,39.8,181,0
H,299.3,308.7,1408,44.4,82,0
M,297.5,308.6,1255,60.7,77,0
L,300.4,311.7,1459,45.6,3,0
M,301.3,310,2068,17.8,176,0
L,300.5,312,1453,45.1,151,0
L,300.2,311.5,1549,37.2,67,0
M,299,310,1341,58.9,126,0
M,298.1,308.1,1390,49.8,85,0
M,300.9,310.6,1709,29.2,158,0
M,302.7,311.6,2709,9.7,2,1
M,299.7,310.3,1661,34.5,6,0
L,302.3,310.1,1653,29.7,34,0
L,301.5,310.6,1565,43.9,142,0
L,299.5,308.7,2549,13,179,1
M,299,310,1338,56.4,29,0
L,301,310.9,1450,45.9,35,0
L,298.4,309.4,1385,43.2,119,0
M,298.8,309.8,1551,36.6,15,0
M,298.1,308.8,1378,53.5,65,0
L,297.4,308.7,1510,36.2,92,0
L,298,308.2,1357,48.2,7,0
L,303.3,311.6,1514,34.7,130,0
L,302.7,312.4,1954,24.8,13,0
L,299.2,308.4,1841,22.8,40,0
M,301.8,311.1,1647,31.6,6,0
M,298.6,309.4,1465,41.1,30,0
L,300,309.4,1395,44.5,181,0
M,303,311,1409,41.7,120,0
M,298.3,308.6,1589,37.1,137,0
L,300.2,310.3,1331,52.1,30,0
L,299.1,308.3,1431,52.3,38,0
L,302.6,312.2,1695,27.1,32,0
L,300.7,311.2,1486,46.8,56,0
M,297.5,308.3,1476,45.6,31,0
L,298.9,310,1693,28.8,56,0
L,300.1,311.5,1659,31.1,203,0
L,300.8,309.7,1481,38.1,153,0
H,302.3,310.9,1366,48.4,130,1
L,301.4,310.7,1605,34.2,94,0
L,299.2,308.5,1370,52.4,61,0
L,297.9,309.2,1478,39.7,10,0
L,298.2,308.9,1709,28.1,81,0
L,301,311.6,1461,40.6,154,0
L,302,309.9,1407,52.8,154,0
L,300.9,312.1,1474,42.4,171,0
L,299.5,310.8,1374,48.3,154,0
H,300.1,311.5,1422,46.2,134,0
L,301.2,309.9,1984,19.7,169,0
L,301.3,311.1,1560,35.3,55,0
M,297.4,308.9,1348,59.1,201,0
L,299.1,309.8,1398,55.4,217,1
M,297.3,308.5,1625,32.8,92,0
H,300.8,311.2,1612,32.5,143,0
M,303.9,313,1901,22.5,110,0
L,300,309.7,1542,47.1,25,0
H,296.8,307.5,1695,30,33,0
L,300.7,311.9,1485,38.8,9,0
L,298.8,309.1,1489,49.1,128,0
L,300.5,311.6,1497,40.5,180,0
M,297.9,307.6,1519,44,37,0
L,299,308.6,1329,60.5,120,0
M,300.2,309.9,1569,31.2,176,0
L,297.5,308.6,1552,44.9,77,0
L,299.1,308.5,1689,32.1,192,0
L,298.8,309.9,1550,38.8,53,0
L,299.4,310.4,1509,40.6,175,0
M,300.1,309.2,1418,39.8,221,0
L,298.9,310.6,1585,38.1,7,0
L,297.5,308.9,1459,48.5,193,0
L,297.3,308.5,1545,34.3,74,0
L,297.3,308.3,1309,61.5,56,0
M,302,310.8,1445,46.3,17,0
M,304.1,313.3,1480,38.4,72,0
L,298.9,308.9,1753,25.8,33,0
L,296.8,307.6,1588,37.6,126,0
L,298.2,308.1,1618,34.7,39,0
M,299.1,310.2,1456,48.4,101,0
M,302,310.6,1623,34.3,9,0
L,297.3,308.1,1506,36,150,0
L,302.4,310.4,1865,23.9,129,0
L,299.1,308.6,1611,31.4,161,0
L,298.2,308.9,1367,45,85,0
M,298.7,309.8,1501,44.7,48,0
M,297.8,309.1,1424,45.5,2,0
L,302,309.9,1308,57.6,197,1
L,300.5,311.4,1642,27.1,37,0
H,295.6,306.2,1414,42.5,69,0
L,302.3,311.8,1605,35.2,152,0
L,301.7,311.3,1708,30.5,77,0
L,299,308.3,1441,44,48,0
L,299.8,309.2,1591,37.5,109,0
L,299.3,308.8,1772,25.2,89,0
M,298.8,309.8,1477,46.7,59,0
L,299,308.6,1466,46.4,112,0
M,301.5,310.7,1336,65.6,0,1
L,299.8,309.3,1291,56.4,188,0
M,302.3,311.8,1463,35.7,197,0
L,302.6,311.7,1254,54.1,19,0
L,299,308.7,1892,22.8,96,0
L,300.8,309.4,1489,38.4,109,0
M,299.8,309.6,1331,50.2,98,0
M,299,310.3,1447,39.9,78,0
L,299.8,310.9,2084,17.6,175,0
L,298.6,309.6,1491,36.9,192,0
L,298.2,307.8,1355,51.3,70,0
M,301.7,309.8,1284,68.2,111,1
H,300.8,310.8,1466,45.2,188,0
L,302.5,310.3,1551,37.3,168,0
L,299.2,310.6,1567,38.4,172,0
M,298.9,309.3,1581,30.7,65,0
L,301.6,310.9,1623,34.1,56,0
L,303.8,313,1365,59.9,205,1
L,297.5,308.6,1514,36.9,134,0
L,301.1,309.8,1519,39.6,167,0
L,300.7,310.2,1639,31.4,48,0
L,298.1,307.6,1364,53.8,129,0
L,297.8,308.4,1737,27.5,146,0
M,297.5,308.6,1440,38.8,29,0
M,298,307.6,1569,35.6,173,0
M,301.2,309.9,1456,50.8,15,0
L,301.7,311.1,1644,32.8,206,0
M,297.2,308.1,1340,61.3,207,1
L,297.2,308.5,1471,41.7,41,0
L,301.6,311.1,1408,44.4,106,0
L,302.7,312.2,1369,51.8,174,0
M,302.2,311.3,1577,29.8,112,0
H,303.4,311.9,1534,33.2,210,0
L,302.5,310.5,1520,41.2,154,0
H,296.4,307.5,1556,38,62,0
M,297.7,308.8,2089,19.1,111,0
L,297.6,308.6,1664,30.1,81,0
L,299.4,310.8,1622,33.6,217,0
L,304.1,313.2,1434,50.1,43,0
H,298.9,310.6,1615,33,221,0
L,304.4,313.6,1569,38.4,11,0
L,303.3,311.7,1539,38.5,221,0
L,303.9,313.2,1345,48.2,77,0
L,302.3,310.9,2034,19.7,190,0
L,298.9,310.2,1971,23.2,155,0
L,300.6,309.6,1726,30,147,0
M,297.8,308.5,1488,41.9,196,0
M,300.4,310.2,1671,30.5,234,1
M,301.9,310.6,1412,46.5,89,0
H,301.1,310.6,1388,58.5,68,0
M,300.3,311.6,1312,53.4,151,0
L,297.2,307.9,1825,24.6,142,0
H,300.2,311.4,1506,36.1,141,0
L,301.1,309.6,1502,48.9,160,0
L,298,308.3,1473,42.6,107,0
